1号电池,2
用剩下1千克石膏,64
用剩下的1千克水泥,64
502胶水,8
华为P20,4
3.5英寸软盘,8
504胶水,8
504胶水废包装,8
A4纸,4
5号电池,2
5号干电池,2
7号电池,2
ipad,4
PIZZA盒,8
xbox,4
cd,4
CD机,4
cpu,4
PVC瓶,4
kindle,4
KINDLE壳,8
led灯,2
LED灯泡,2
iphone x,4
IPHONE手机,4
PET瓶,4
PE塑料袋,8
pe塑料盒,4
zippo打火机,8
kt板,4
pp管,4
U盘,4
U型回形针,8
x光胶片,2
x光片,2
X光片等感光胶片,2
阿尔卑斯糖,16
阿华田,16
阿司匹林,2
艾草,16
艾叶,16
安全帽,4
安全套,8
安全座椅,32
过期安全套,8
施工安全帽,4
用过的安全套,8
按摩棒,8
密胺餐具,4
密胺碗,4
档案袋,4
肮脏塑料袋,8
棉袄,4
芭蕉叶,16
八宝饭,16
八宝粥,16
八角,16
巴旦木壳,16
锅巴,16
泥巴,8
星巴克纸杯,8
海绵拖把,8
旧拖把,8
门把手,4
扫把,8
塑料拖把,8
拖把,8
浴霸灯,4
浴霸灯泡,2
白板,32
白板笔,8
白菜,16
白菜叶,16
白炽灯,2
白炽灯泡,2
白纸,4
白煮蛋壳,16
大白菜,16
蛋白素肉包装袋,8
画过画的白纸,8
茭白,16
茭白皮,16
漂白粉,8
漂白剂罐,2
百洁布,8
玻璃摆件,4
枯枝败叶,16
一般铁罐,4
板擦儿,8
板凳,32
板栗,16
板栗壳,16
插线板,4
炒板栗,16
床板,64
地板,64
电池板,2
电路板,4
电路主板,4
废纸板,4
复印件纸板,4
黑板,32
厚纸板,4
黄板纸,4
黄纸板,4
集成电路板,4
家用电器内的电路板,4
胶囊药片底板,2
脚踏板,8
接线板,4
旧木板,64
旧小黑板,8
快递纸板,4
快递纸板箱,4
铝塑板,64
木板,64
木铲板,4
木地板,64
木砧板,4
木质菜板,4
泡沫板,4
乒乓板,8
平板玻璃,4
平板电脑,4
破木板,64
石膏板,64
塑胶地板,64
塑料板,4
塑料垫板,4
桃板,16
铁板,4
拖线板,4
污染过的纸板箱,8
线路板,4
小块地板,64
亚克力板,4
颜料板,8
药品铝塑板,2
硬板纸,4
硬纸板,4
粘鼠板,8
砧板,4
纸板,4
纸板箱,4
主板,4
主机板,4
复印件版纸,4
干拌面,16
搅拌棒,8
搅拌勺,8
木质搅拌棒,8
花瓣,16
衣服半成品,4
手办,4
蹄膀,16
鸡翅膀,16
鸡翅膀的骨头,16
蹄膀的骨头,8
蹄膀骨头,8
棒棒糖,16
棒棒糖杆,8
棒骨,8
冰棍棒,8
冰激凌木棒,8
吃过的棒棒糖,8
大棒骨,8
大骨棒,8
骨头棒,8
鸡棒骨,16
鸡骨棒,16
胶棒,8
卷发棒,4
冷饮棒,8
滤芯棒,8
棉棒,8
棉花棒,8
棉签棒,8
烧烤棒,8
熟玉米棒,16
铁棒,4
橡胶棒,8
炫彩棒,8
雪糕棒,8
雪糕棒子,8
牙签棒,8
验孕棒,8
荧光棒,8
油画棒,8
玉米棒,16
震动棒,4
猪棒骨,8
自慰棒,4
蚌壳,8
面包,16
包包,4
包菜叶子,16
包蛋糕的塑料袋,8
包狗屎的纸巾,8
包海鲜的袋子,8
包了番茄皮的纸巾,8
包书膜,8
包书皮,8
包书纸,4
包装薄膜,8
包装材料,8
包装袋,8
包装干燥剂,8
包装食品袋,8
包装塑料袋,8
包装塑料纸,8
包装箱,4
包装用纸,4
包装纸,4
包装纸盒,4
包装纸箱,4
包子,16
饼干包装袋,8
布包,4
餐巾纸包装,8
茶包,8
茶包袋,8
茶叶包,8
茶叶包装袋,8
打包袋,8
打包的剩饭菜,16
打包盒,8
打包锡纸盒,8
大米包装袋,8
带血包装袋,8
带油包装皮,8
蛋糕包装,8
蛋糕包装袋,8
蛋糕包装盒,8
蛋黄饼包装盒,4
蛋黄饼塑料包装盒,8
蛋黄月饼塑料包装盒,8
电脑包,4
电子塑料包装,4
调料包,16
调料包装,8
调料塑料包装,8
豆腐包袋盒,8
镀铝膜包装,8
帆布包,4
方便面的调料包,8
方便面调料包,8
方便面料包,16
方便面纸盒包装,8
肥皂外包装,8
废弃布包,4
废弃书包,4
服装包装袋,8
复合包装,8
复合软包装,4
干燥剂（食品包装内）,8
各式皮包,4
公文包,4
挂耳咖啡包,8
过期面包,16
汉堡包,16
荷包蛋,16
盒马塑料包装盒,8
花茶包,8
化学试剂包装玻璃瓶,2
化妆品包装袋,8
火锅包装,8
酱油包装纸,8
金属包装盒,4
酒精棉片包装袋,8
旧包皮革,4
旧背包,4
旧皮包,4
旧手提包,4
旧书包,4
咖啡包,16
咖啡包装袋,8
空调包装,4
口香糖包装纸,8
快递包装袋,8
快递包装盒,4
快递包装纸,8
快递塑料包装纸,8
辣条包装袋,8
乐利包,4
冷冻食品塑料包装,8
冷饮包装,8
冷饮包装袋,8
冷饮包装盒,4
冷饮包装纸,8
利乐包,4
利乐包装,4
利乐包装盒,4
零食包装袋,8
零食包装盒,8
铝箔包,8
铝箔包装,4
买菜的包装袋,8
面包包装袋,8
面包袋,8
面包干,16
面包盒,8
面包机,4
面包屑,16
面膜包装,8
面膜包装纸,8
尿塑料包装,8
牛奶包装,4
牛奶包装盒,4
牛奶盒包装,4
牛奶利乐包,4
牛奶纸盒包装,4
牛排包装,8
牛肉粒包装袋,8
呕吐包,8
泡脚药包,8
泡面调料包,8
泡面调料塑料包,8
泡泡包装袋,8
膨化食品包装,8
膨化食品外包装,8
皮包,4
皮质包包,4
破书包,4
巧克力包装纸,8
染发剂包装,2
肉包,16
软饮包装,4
三明治包装,8
沙包,8
沙拉酱包装,8
上好佳包装,8
生煎包,16
生石灰包,8
剩包子,16
湿的食品包装袋,8
湿巾纸包装,8
食品包装带,8
食品包装袋,8
食品包装盒,8
食品包装塑料袋,8
食品包装塑料盒,8
食品包装纸,8
食品包装纸盒,8
食品包裝,8
食品塑料包装,8
食品塑料包装袋,8
食品外包装,8
食品小包装袋,8
食物包装,8
食物包装袋,8
食物包装纸,8
书包,4
薯片包装,8
薯片包装袋,8
水果包装纸箱,4
水果外包装泡沫,4
速冻饺子包装,8
速冻食品包装纸,8
速溶咖啡包装,8
塑包装袋,8
塑胶包装袋,8
塑料包书纸,8
塑料包装,8
塑料包装袋,8
塑料包装盒,4
塑料包装纸,8
塑料打包盒,8
塑料打包绳,8
塑料食品包装袋,8
塑料外包,8
塑料外包装,8
炭包,8
糖包装,8
糖果包装,8
跳跳糖包装袋,8
外卖包装盒,8
卫生巾包装袋,8
无菌包装塑料,8
无菌注射器包装,8
吸管包装纸,8
洗衣粉的包装袋,8
洗衣液包装袋,8
香肠包装袋,8
小零食包装袋,8
牙膏包装皮,8
牙刷包装,8
一次性茶包,8
一次性打包盒,8
一次性口罩包装袋,8
一次性塑料打包盒,8
衣物包装袋,8
饮料包装盒,4
饮料纸包装,4
饮品包装,8
硬塑料包装,4
用过的打包饮料盒,8
有机溶剂包装,2
有机溶剂类包装物,2
月饼包装,4
月饼包装袋,4
针线包,8
纸包装,4
纸包装盒,4
纸巾包装,8
纸巾包装袋,8
纸巾塑料包装袋,8
纸塑铝复合包装,4
纸质包装,4
纸质包装带,4
纸质包装袋,4
纸质包装纸,4
中药包装,8
竹炭包,8
装过菜的打包盒,8
装食品的包装袋,8
自暖包,8
粽子 包扎线,8
手剥核桃壳,8
薄型塑料袋,8
塑料薄膜,8
保健品,2
保健品盒,4
保龄球,8
保暖杯,4
保暖瓶,4
保温杯,4
保温材料,8
保温棉,8
保温瓶,4
保鲜袋,8
保鲜膜,8
保鲜用的冰袋,8
保险套,8
保险箱,4
工业用保利龙,0
过期保健品,2
环保袋,4
鸡蛋保护塑料盒,4
鸡蛋保护套,8
旧保暖瓶,4
旧保温瓶,4
食品保鲜袋,8
食品保鲜盒,4
食物保鲜袋,8
手提塑胶保温箱,8
塑料保鲜盒,4
塑料食品保鲜盒,4
污染过的保鲜袋,8
小袋脱酸保鲜剂,8
用过的保鲜袋,8
用过的保鲜膜,8
汉堡,16
汉堡盒,8
宝特瓶,4
充电宝,4
充电式暖宝宝,4
暖宝宝,8
暖宝宝帖,8
暖宝贴,8
淘宝纸盒,4
易拉宝,4
